city,latitude,longitude,temp_max,humidity,cloudiness,wind_speed,country,date
Nizhniy Kuranakh,58.84,125.49,10.15,93,95,1.74,RU,1604107673
Vangaindrano,-23.35,47.6,64.13,78,12,2.53,MG,1604107673
Abu Samrah,35.3,37.18,62.02,65,100,2.77,SY,1604107674
Albany,42.6,-73.97,33.01,88,97,2.75,US,1604107674
Tuktoyaktuk,69.45,-133.04,5.0,92,75,6.93,CA,1604107448
Ukiah,39.15,-123.21,71.6,21,1,3.51,US,1604107674
Fortuna,40.6,-124.16,57.0,76,1,11.41,US,1604107674
Hobyo,5.35,48.53,80.38,78,92,8.32,SO,1604107675
Eyl,7.98,49.82,79.84,74,100,11.23,SO,1604107675
Boa Vista,2.82,-60.67,80.6,69,20,2.24,BR,1604107675
Flin Flon,54.77,-101.86,21.45,97,100,14.81,CA,1604107675
Qaanaaq,77.48,-69.36,12.83,88,94,5.26,GL,1604107447
Ribeira Grande,38.52,-28.7,68.95,92,100,14.09,PT,1604107675
Punta Arenas,-53.15,-70.92,50.0,66,75,10.29,CL,1604107448
Gisborne,-38.65,178.0,69.01,63,100,8.01,NZ,1604107675
Dawlatabad,36.41,64.91,36.9,75,0,0.85,AF,1604107676
Sioux Lookout,50.1,-91.92,30.2,80,90,6.93,CA,1604107676
Narón,43.52,-8.15,62.01,87,20,11.41,ES,1604107676
Rocha,-34.48,-54.33,45.5,87,100,2.66,UY,1604107676
Caravelas,-17.71,-39.25,76.1,83,21,7.67,BR,1604107676
Huarmey,-10.07,-78.15,63.01,84,100,6.98,PE,1604107676
Lüderitz,-26.65,15.16,59.16,59,100,28.19,NA,1604107677
Lompoc,34.64,-120.46,60.8,82,1,5.82,US,1604107677
Urengoy,65.97,78.37,26.15,99,100,12.64,RU,1604107677
Kamaishi,39.27,141.88,51.8,76,20,3.36,JP,1604107677
Matara,5.95,80.54,77.31,84,100,5.08,LK,1604107677
Maralal,1.1,36.7,57.34,92,85,5.17,KE,1604107678
Avarua,-21.21,-159.78,75.2,78,99,14.99,CK,1604107678
Villaviciosa,43.48,-5.44,60.01,58,0,5.55,ES,1604107678
Aksu,41.12,80.26,38.37,70,31,2.53,CN,1604107678
Puerto Nariño,-3.77,-70.38,77.0,100,90,11.41,CO,1604107678
Cape Town,-33.93,18.42,57.0,62,0,20.8,ZA,1604107442
Adrar,20.5,-10.07,81.63,16,87,9.28,MR,1604107678
Norman Wells,65.28,-126.83,12.2,92,90,1.3,CA,1604107679
Henties Bay,-22.12,14.28,54.0,88,100,6.35,NA,1604107679
Sola,-13.88,167.55,80.6,94,75,15.41,VU,1604107679
Kahului,20.89,-156.47,87.8,45,20,24.16,US,1604107679
Port Alfred,-33.59,26.89,59.67,65,93,3.89,ZA,1604107679
Zhigansk,66.77,123.37,-13.74,89,94,0.6,RU,1604107679
Skole,49.04,23.51,43.0,86,100,2.75,UA,1604107680
Soyo,-6.13,12.37,77.02,84,90,3.74,AO,1604107680
Barrow,71.29,-156.79,8.6,84,75,8.05,US,1604107444
Homer,59.64,-151.55,32.0,33,1,11.41,US,1604107680
Paamiut,61.99,-49.67,26.46,83,65,16.22,GL,1604107680
Nanortalik,60.14,-45.24,26.73,92,83,8.59,GL,1604107681
Pisco,-13.7,-76.22,62.6,88,90,6.93,PE,1604107468
Camacha,33.08,-16.33,66.2,82,20,4.7,PT,1604107681
Mount Gambier,-37.83,140.77,55.4,71,90,14.99,AU,1604107681
Bariloche,-41.15,-71.31,55.4,30,0,6.93,AR,1604107463
Bambous Virieux,-20.34,57.76,68.0,56,20,12.75,MU,1604107525
Bintulu,3.17,113.03,82.4,88,20,3.36,MY,1604107467
Yangi Marg`ilon,40.43,71.72,37.4,37,0,6.93,UZ,1604107682
Los Llanos de Aridane,28.66,-17.92,70.0,77,0,9.17,ES,1604107470
Pevek,69.7,170.31,21.15,97,100,5.3,RU,1604107682
Arauco,-37.25,-73.32,59.0,82,0,4.7,CL,1604107537
Najrān,17.49,44.13,59.0,30,0,1.88,SA,1604107682
Ponta Delgada,37.73,-25.67,69.8,88,75,14.99,PT,1604107683
Hilo,19.73,-155.09,82.4,74,90,8.05,US,1604107548
Ancud,-41.87,-73.82,54.0,81,0,5.82,CL,1604107683
Cherskiy,68.75,161.3,6.84,91,100,5.14,RU,1604107683
San Cristobal,7.77,-72.22,68.27,91,99,1.99,VE,1604107683
Atambua,-9.11,124.89,87.37,48,6,1.48,ID,1604107683
Faanui,-16.48,-151.75,78.78,80,15,17.4,PF,1604107684
Esperance,-33.87,121.9,75.2,31,0,25.28,AU,1604107684
Bredasdorp,-34.53,20.04,48.2,81,21,2.75,ZA,1604107684
Tiksi,71.69,128.87,7.48,95,100,4.56,RU,1604107501
Henderson,36.04,-114.98,75.2,19,1,5.82,US,1604107684
Kirakira,-10.45,161.92,84.25,65,60,4.25,SB,1604107684
Moses Lake,47.13,-119.28,57.2,33,1,11.41,US,1604107443
Honiara,-9.43,159.95,87.8,70,20,6.93,SB,1604107685
East London,-33.02,27.91,62.17,69,100,1.48,ZA,1604107685
Pangnirtung,66.15,-65.71,8.55,79,78,3.4,CA,1604107685
Ust'-Koksa,50.27,85.61,19.44,89,51,1.23,RU,1604107685
Isangel,-19.55,169.27,80.6,78,75,9.17,VU,1604107685
Butaritari,3.07,172.79,82.6,76,100,19.69,KI,1604107685
São Filipe,14.9,-24.5,81.32,59,100,15.28,CV,1604107685
Provideniya,64.38,-173.3,24.3,85,45,7.2,RU,1604107686
Arrecife,28.96,-13.55,73.4,69,0,17.22,ES,1604107686
Bridlington,54.08,-0.19,48.0,100,74,2.24,GB,1604107686
Upernavik,72.79,-56.15,19.72,96,98,4.18,GL,1604107686
Barranca,-10.75,-77.77,61.79,86,100,5.28,PE,1604107686
Vidim,56.41,103.11,24.85,97,100,3.22,RU,1604107686
Lebu,-37.62,-73.65,51.62,89,0,12.62,CL,1604107687
Saint-Pierre,-21.34,55.48,66.2,63,90,8.05,RE,1604107687
Cap Malheureux,-19.98,57.61,63.0,64,0,1.99,MU,1604107687
New Norfolk,-42.78,147.06,70.0,40,28,4.0,AU,1604107474
Hithadhoo,-0.6,73.08,83.52,73,100,9.19,MV,1604107687
Hong Kong,22.29,114.16,75.0,68,79,1.01,HK,1604107404
Vaini,-21.2,-175.2,78.8,69,40,13.87,TO,1604107687
Gaya,24.78,85.0,66.2,88,75,5.99,IN,1604107688
Hambantota,6.12,81.12,75.2,100,90,3.36,LK,1604107688
Aksarka,66.56,67.8,34.5,99,100,15.37,RU,1604107688
Patnos,39.23,42.86,50.38,46,10,5.14,TR,1604107688
Makokou,0.57,12.86,68.94,97,82,0.54,GA,1604107688
Bethel,41.37,-73.41,33.8,80,1,2.93,US,1604107688
Kalmunai,7.42,81.82,78.48,82,100,6.89,LK,1604107689
Lorengau,-2.02,147.27,87.1,62,75,3.0,PG,1604107689
Codrington,-38.27,141.97,56.03,79,100,12.46,AU,1604107689
Tautira,-17.73,-149.15,84.2,58,40,16.11,PF,1604107689
Bahile,10.0,118.79,89.6,62,20,13.87,PH,1604107689
Nikolskoye,59.7,30.79,45.0,93,90,6.71,RU,1604107447
Deputatsky,69.3,139.9,2.73,95,100,1.88,RU,1604107689
Upata,8.01,-62.4,78.01,94,100,1.01,VE,1604107690
Flinders,-34.58,150.86,64.0,93,70,4.0,AU,1604107690
Thompson,55.74,-97.86,17.6,72,90,6.93,CA,1604107690
Yelabuga,55.76,52.06,37.4,69,0,8.95,RU,1604107690
Samarai,-10.62,150.67,82.58,75,100,8.12,PG,1604107690
Mogadishu,2.04,45.34,79.25,80,100,11.83,SO,1604107690
Saint-François,46.42,3.91,39.2,100,90,2.24,FR,1604107690
Brae,60.4,-1.35,48.2,76,97,17.22,GB,1604107691
Narsaq,60.92,-46.05,23.0,73,92,1.12,GL,1604107691
Finschhafen,-6.6,147.87,85.08,64,40,6.46,PG,1604107691
Saldanha,-33.01,17.94,53.6,66,0,9.17,ZA,1604107501
Chokurdakh,70.63,147.92,9.66,96,100,7.56,RU,1604107691
Van,38.49,43.38,57.2,30,75,3.36,TR,1604107691
Suntar,62.14,117.63,1.08,88,70,5.28,RU,1604107692
Bluff,-46.6,168.33,53.01,98,100,11.99,NZ,1604107692
La Sarre,48.8,-79.2,16.54,93,0,4.5,CA,1604107692
Mehamn,71.04,27.85,30.11,94,38,7.61,NO,1604107692
Brejo,-3.68,-42.75,77.94,73,12,6.53,BR,1604107692
Båtsfjord,70.63,29.72,28.71,95,52,7.49,NO,1604107692
Domoni,-12.26,44.53,76.53,78,100,2.06,KM,1604107692
Rawson,-43.3,-65.1,63.64,32,0,12.84,AR,1604107693
Chkalovskoye,44.84,133.04,46.09,59,65,8.52,RU,1604107693
Laguna,38.42,-121.42,73.4,32,1,1.57,US,1604107693
Aklavik,68.22,-135.01,5.0,84,96,3.36,CA,1604107693
Manono,-7.3,27.42,68.05,94,0,1.01,CD,1604107693
São Bento do Sul,-26.25,-49.38,50.0,95,100,5.01,BR,1604107694
Port Blair,11.67,92.75,81.36,82,100,9.46,IN,1604107694
Luanda,-8.84,13.23,77.0,88,75,5.82,AO,1604107694
Portland,45.52,-122.68,57.2,62,75,6.93,US,1604107456
Buta,2.79,24.73,69.44,98,54,1.79,CD,1604107694
Helong,42.54,129.0,47.37,45,100,4.25,CN,1604107695
Vila Franca do Campo,37.72,-25.43,69.8,88,75,14.99,PT,1604107695
Banjarmasin,-3.32,114.59,85.32,71,100,3.09,ID,1604107695
Chornukhy,50.27,32.94,45.57,91,100,4.27,UA,1604107695
Oussouye,12.48,-16.55,78.8,94,0,2.24,SN,1604107696
Hammerfest,70.66,23.68,32.0,93,40,21.92,NO,1604107696
Safaga,26.73,33.94,75.07,69,0,15.52,EG,1604107696
Altus,34.64,-99.33,53.6,66,1,8.05,US,1604107549
Raudeberg,61.99,5.14,50.0,71,100,14.99,NO,1604107696
Nagyrábé,47.2,21.33,51.8,100,90,10.29,HU,1604107697
Correntina,-13.34,-44.64,73.8,75,99,3.31,BR,1604107697
Saint-Tite,46.73,-72.57,30.2,68,0,3.36,CA,1604107697
Chardara,41.25,67.97,43.83,60,0,3.76,KZ,1604107697
Hohhot,40.81,111.65,41.0,21,0,8.95,CN,1604107697
Baykit,61.67,96.37,0.54,88,0,2.71,RU,1604107697
Katsuura,35.13,140.3,63.0,47,20,10.29,JP,1604107698
Ilulissat,69.22,-51.1,19.4,73,95,4.7,GL,1604107698
Torbay,47.67,-52.73,34.0,64,90,11.41,CA,1604107698
Constitución,-35.33,-72.42,57.78,71,0,6.91,CL,1604107698
Muzhi,65.37,64.67,36.25,95,100,11.61,RU,1604107698
Saskylakh,71.92,114.08,-2.78,82,9,5.55,RU,1604107485
Opuwo,-18.06,13.84,67.12,56,0,4.32,NA,1604107699
Vao,-22.67,167.48,74.23,87,92,14.0,NC,1604107699
Lebyazh'ye,55.27,66.49,29.93,94,0,8.32,RU,1604107699
Antofagasta,-23.65,-70.4,59.0,77,90,10.29,CL,1604107699
Corat,40.57,49.71,55.4,93,0,4.7,AZ,1604107699
Altea,38.6,-0.05,62.01,81,0,2.39,ES,1604107699
Marawi,8.0,124.29,80.01,87,9,4.0,PH,1604107700
Severo-Kuril'sk,50.68,156.12,40.87,92,100,34.16,RU,1604107700
Coquimbo,-29.95,-71.34,53.6,87,90,6.93,CL,1604107700
Lima,-12.04,-77.03,64.4,77,90,11.41,PE,1604107618
Viborg,56.45,9.4,51.8,100,48,3.36,DK,1604107700
Arraial do Cabo,-22.97,-42.03,70.47,88,100,32.44,BR,1604107652
Hasaki,35.73,140.83,62.6,48,20,16.11,JP,1604107700
Arlit,18.74,7.39,75.49,19,0,11.59,NE,1604107701
Abidjan,5.31,-4.02,80.6,94,20,6.93,CI,1604107701
Villa Carlos Paz,-31.42,-64.5,64.99,59,0,1.23,AR,1604107701
Mossamedes,-15.2,12.15,73.33,79,62,3.33,AO,1604107701
Marsala,37.8,12.44,68.0,87,20,3.36,IT,1604107701
Viedma,-40.81,-63.0,58.98,33,6,3.22,AR,1604107702
Tarakan,3.3,117.63,80.19,85,91,11.74,ID,1604107657
Cabedelo,-6.98,-34.83,77.0,88,20,6.93,BR,1604107702
Maumere,-8.62,122.21,85.42,65,67,4.45,ID,1604107702
Airai,-8.93,125.41,75.87,53,0,2.57,TL,1604107512
Ximeicun,24.96,118.38,71.6,53,0,15.66,CN,1604107702
Coralville,41.68,-91.58,39.2,60,1,3.36,US,1604107424
Chicama,-7.84,-79.15,63.91,81,100,7.05,PE,1604107703
Longyearbyen,78.22,15.64,17.6,72,40,5.82,SJ,1604107703
Avera,33.19,-82.53,59.0,82,1,3.36,US,1604107703
Coahuayana Viejo,18.73,-103.68,75.2,83,75,0.78,MX,1604107703
Upington,-28.45,21.26,66.2,19,100,4.7,ZA,1604107703
Barcelos,41.54,-8.62,59.0,87,75,6.93,PT,1604107703
Port Shepstone,-30.74,30.45,63.59,87,100,8.88,ZA,1604107704
Coyhaique,-45.58,-72.07,57.2,54,0,3.36,CL,1604107704
Lhokseumawe,5.18,97.15,80.1,80,33,3.83,ID,1604107704
Srīvardhan,18.03,73.02,75.76,62,0,4.9,IN,1604107704
Cidreira,-30.18,-50.21,63.64,66,56,10.36,BR,1604107704
Culebra,18.3,-65.3,87.8,74,40,12.75,PR,1604107704
Nouadhibou,20.93,-17.03,66.2,88,0,13.87,MR,1604107705
Saint Paul Harbor,57.79,-152.41,33.8,64,90,6.93,US,1604107489
Ambovombe,-25.17,46.08,61.74,84,0,5.79,MG,1604107705
Port Hueneme,34.15,-119.2,68.0,93,1,4.7,US,1604107705
Mlimba,-8.8,35.82,71.96,71,81,1.63,TZ,1604107705
Ullapool,57.9,-5.16,45.0,70,100,5.99,GB,1604107705
Severnyy,50.68,36.55,44.6,93,90,4.47,RU,1604107705
Dhāmnod,22.22,75.47,66.2,55,20,3.33,IN,1604107706
Hlohovec,48.43,17.8,55.4,87,100,5.82,SK,1604107706
Rio Grande,-32.03,-52.1,59.0,82,100,10.85,BR,1604107706
Umluj,25.02,37.27,77.25,37,0,4.99,SA,1604107706
Premnitz,52.53,12.33,57.0,78,100,1.01,DE,1604107706
Predivinsk,57.07,93.44,20.79,97,90,1.83,RU,1604107706
Talnakh,69.49,88.4,14.0,78,100,29.08,RU,1604107707
Saint-Leu,-21.15,55.28,66.2,63,90,8.05,RE,1604107707
Tocopilla,-22.09,-70.2,61.83,62,0,5.28,CL,1604107707
Faya,18.39,42.45,57.2,35,0,1.21,SA,1604107707
Cherdyn',60.4,56.48,33.71,93,99,8.72,RU,1604107707
Iqaluit,63.75,-68.51,15.8,78,90,8.05,CA,1604107707
Poum,-20.23,164.02,79.05,75,100,22.44,NC,1604107708
Mahébourg,-20.41,57.7,68.0,56,20,12.75,MU,1604107708
Half Moon Bay,37.46,-122.43,66.2,82,1,9.17,US,1604107708
Naze,28.37,129.48,77.0,65,75,23.04,JP,1604107497
Mar del Plata,-38.0,-57.56,55.99,81,0,4.7,AR,1604107669
Nueve de Julio,-35.44,-60.88,55.0,65,0,1.99,AR,1604107708
Dehlorān,32.69,47.27,63.64,36,0,1.66,IR,1604107708
Alibag,18.64,72.88,77.0,73,20,5.12,IN,1604107709
Nara,34.69,135.8,60.8,51,0,5.82,JP,1604107709
Touros,-5.2,-35.46,77.0,88,40,5.82,BR,1604107472
Adré,13.47,22.2,78.17,26,19,10.33,TD,1604107709
Dunmore Town,25.5,-76.65,81.95,73,0,5.99,BS,1604107709
Dikson,73.51,80.55,13.73,96,91,27.67,RU,1604107709
Eirunepé,-6.66,-69.87,73.35,97,100,1.07,BR,1604107710
Mocuba,-16.84,36.99,69.24,82,0,1.21,MZ,1604107710
Yeppoon,-23.13,150.73,87.8,48,40,13.87,AU,1604107710
Baoding,38.85,115.49,57.11,37,0,5.06,CN,1604107710
Saint-Philippe,-21.36,55.77,66.2,63,90,8.05,RE,1604107710
Stornoway,58.21,-6.39,50.0,81,100,18.34,GB,1604107711
Maniitsoq,65.42,-52.9,20.89,86,69,6.69,GL,1604107711
Emerald,-23.53,148.17,86.0,15,0,8.05,AU,1604107711
Jalu,29.03,21.55,62.08,72,7,10.09,LY,1604107711
Palmer,42.16,-72.33,28.0,92,20,1.41,US,1604107711
Vinh Long,10.25,105.97,84.2,83,40,3.31,VN,1604107711
Auki,-8.77,160.7,83.73,75,95,3.96,SB,1604107711
Bétaré Oya,5.6,14.08,67.41,92,47,2.59,CM,1604107712
Selty,57.31,52.13,34.99,90,100,6.26,RU,1604107712
Tual,-5.67,132.75,83.89,70,0,10.71,ID,1604107712
Rājāpur,25.38,81.15,66.34,36,0,4.85,IN,1604107712
Grindavik,63.84,-22.43,42.8,87,75,27.51,IS,1604107712
Santa Cruz de la Sierra,-17.8,-63.17,77.0,38,20,14.99,BO,1604107712
Ugoofaaru,5.67,73.0,82.35,72,4,7.63,MV,1604107713
Ken Caryl,39.58,-105.12,54.0,30,0,4.45,US,1604107713
Agutaya,11.15,120.94,83.34,78,100,27.65,PH,1604107446
Talcahuano,-36.72,-73.12,59.0,82,0,4.7,CL,1604107713
Chui,-33.7,-53.46,53.46,87,96,6.02,UY,1604107713
Point Fortin,10.18,-61.68,79.0,93,50,14.32,TT,1604107671
Eureka,40.8,-124.16,55.0,80,0,1.01,US,1604107714
Goderich,43.75,-81.72,33.8,69,98,5.82,CA,1604107714
Tuatapere,-46.13,167.68,53.01,98,100,11.99,NZ,1604107714
Itapirapuã,-15.82,-50.61,75.65,79,96,3.76,BR,1604107714
Kaitangata,-46.28,169.85,57.0,90,100,13.0,NZ,1604107714
Riyadh,24.69,46.72,60.8,51,0,3.0,SA,1604107444
Dingle,11.0,122.67,82.36,83,100,12.26,PH,1604107714
Souillac,-20.52,57.52,68.0,56,20,12.75,MU,1604107715
Conde,-7.26,-34.91,77.0,88,20,6.93,BR,1604107715
Meulaboh,4.14,96.13,78.58,82,100,3.74,ID,1604107715
Rochester,43.15,-77.62,37.99,84,90,8.05,US,1604107605
Kuching,1.55,110.33,80.6,88,20,3.36,MY,1604107564
Santiago,-33.46,-70.65,66.99,48,0,10.29,CL,1604107670
Canora,51.63,-102.43,37.4,93,90,19.46,CA,1604107716
Kaseda-shirakame,31.42,130.32,60.8,59,20,8.05,JP,1604107716
Camalú,30.85,-116.07,62.01,32,100,1.99,MX,1604107716
Senanga,-16.12,23.27,72.75,28,20,6.24,ZM,1604107716
Phonhong,18.5,102.42,77.0,83,75,2.35,LA,1604107716
Black River,18.03,-77.85,82.4,83,75,6.93,JM,1604107717
Tupik,54.43,119.93,18.43,94,100,4.92,RU,1604107717
Leningradskiy,69.38,178.42,19.27,94,70,18.41,RU,1604107717
Karratha,-20.74,116.85,84.11,48,0,8.55,AU,1604107717
El Salvador,13.83,-88.92,78.8,94,40,5.82,SV,1604107678
Bandarbeyla,9.49,50.81,76.55,79,88,7.31,SO,1604107715
Garden City,42.33,-83.33,37.99,55,90,5.82,US,1604107424
Ormara,25.21,64.64,75.76,33,0,6.55,PK,1604107718
Namatanai,-3.67,152.43,84.67,68,100,3.76,PG,1604107718
Kaniama,-7.57,24.18,65.89,94,94,2.48,CD,1604107718
Beloha,-25.17,45.05,63.36,67,0,8.57,MG,1604107495
Baruun-Urt,46.68,113.28,34.0,80,6,19.26,MN,1604107718
Anadyr,64.75,177.48,6.8,84,20,6.71,RU,1604107718
Vardø,70.37,31.11,34.59,86,40,8.21,NO,1604107719
Nouakchott,18.09,-15.98,75.2,69,0,19.46,MR,1604107719
Wardha,20.75,78.62,64.4,88,40,3.76,IN,1604107719
Ternate,0.8,127.4,84.36,73,94,9.46,ID,1604107719
Port Macquarie,-31.43,152.92,86.0,48,7,1.99,AU,1604107719
Bengkulu,-3.8,102.27,79.29,80,97,2.17,ID,1604107536
Syumsi,57.11,51.61,35.65,88,100,5.73,RU,1604107720
Sørland,67.67,12.69,42.24,88,100,27.94,NO,1604107720
Rodrigues Alves,-7.74,-72.65,72.93,98,100,3.31,BR,1604107720
Impfondo,1.64,18.07,71.47,96,97,0.16,CG,1604107720
Pervomayskiy,53.25,40.29,43.43,94,100,6.69,RU,1604107720
Harper,4.38,-7.72,77.5,90,100,8.57,LR,1604107721
Severo-Yeniseyskiy,60.37,93.04,-1.48,92,0,1.77,RU,1604107721
Linfen,36.09,111.52,57.02,42,1,4.23,CN,1604107579
Muros,42.78,-9.06,61.0,90,100,14.0,ES,1604107721
Grande Prairie,55.17,-118.8,26.6,86,40,10.29,CA,1604107506
Luorong,24.41,109.61,67.95,75,86,4.85,CN,1604107722
San Vicente,-26.62,-54.13,64.09,83,97,3.09,AR,1604107722
Srednekolymsk,67.45,153.68,5.94,91,100,1.48,RU,1604107722
Laas,46.62,10.7,39.2,86,5,4.7,IT,1604107722
Labytnangi,66.66,66.42,34.63,97,100,11.32,RU,1604107722
Fayaoué,-20.65,166.53,77.86,81,95,15.88,NC,1604107722
Kawalu,-7.38,108.21,80.06,75,73,1.52,ID,1604107723
Porto Santo,33.07,-16.34,66.2,82,20,4.7,PT,1604107723
Zile,40.3,35.89,57.2,82,75,2.24,TR,1604107723
Ocampo,21.65,-101.5,55.42,48,0,10.6,MX,1604107723
Otane,-39.88,176.63,68.0,66,94,18.99,NZ,1604107723
Lavrentiya,65.58,-171.0,22.23,87,0,9.8,RU,1604107498
Rāwah,34.48,41.91,59.7,30,0,3.71,IQ,1604107723
Kaura Namoda,12.59,6.58,78.49,24,0,7.76,NG,1604107724
Guangming,45.33,122.78,53.67,44,100,22.53,CN,1604107724
Arrondissement de Gap,44.67,6.0,46.0,84,0,2.89,FR,1604107724
Vila,42.03,-8.16,54.0,94,0,1.99,PT,1604107724
Saint-Joseph,-21.37,55.62,66.2,63,90,8.05,RE,1604107724
Tasiilaq,65.61,-37.64,33.8,80,100,46.08,GL,1604107724
Ashland,40.82,-82.27,37.4,69,90,5.12,US,1604107724
Salalah,17.02,54.09,73.4,40,0,5.82,OM,1604107725
Bad Orb,50.23,9.35,55.0,85,35,1.01,DE,1604107725
Petropavlovsk-Kamchatskiy,53.05,158.65,42.8,60,75,11.18,RU,1604107725
Dubovskoye,47.41,42.76,56.84,90,80,9.37,RU,1604107725
Katobu,-4.94,122.53,91.11,48,79,2.37,ID,1604107725
Mūdbidri,13.08,74.98,75.2,88,20,3.15,IN,1604107725
Iracoubo,5.48,-53.2,81.27,83,32,12.55,GF,1604107725
Ténenkou,14.46,-4.92,81.07,18,0,9.06,ML,1604107726
Maragogi,-9.01,-35.22,76.68,88,100,9.66,BR,1604107726
Kloulklubed,7.04,134.26,84.2,74,75,21.92,PW,1604107447
Isil'kul',54.91,71.27,29.5,97,71,7.38,RU,1604107726
Lockhart,28.62,-81.44,69.8,64,1,6.93,US,1604107726
Kutum,14.2,24.67,72.82,27,15,13.22,SD,1604107726
Sawtell,-30.38,153.1,82.4,51,88,19.46,AU,1604107726
Port Elizabeth,-33.92,25.57,50.0,93,75,4.7,ZA,1604107717
Ola,59.58,151.28,32.86,92,100,13.44,RU,1604107727
North Bend,43.41,-124.22,57.99,87,40,6.93,US,1604107727
Verkh-Usugli,52.7,115.17,25.93,87,100,5.95,RU,1604107727
Villa Unión,23.2,-106.23,81.0,57,75,3.36,MX,1604107727
Bonavista,48.65,-53.11,34.0,85,100,3.36,CA,1604107727
Yakeshi,49.28,120.73,32.56,97,100,6.13,CN,1604107487
Newport,51.59,-3.0,57.99,98,100,3.0,GB,1604107728
Guerrero Negro,27.98,-114.06,70.59,44,36,9.37,MX,1604107698
Shimoda,34.67,138.95,62.6,48,20,18.34,JP,1604107728
Boyolangu,-8.12,111.89,81.5,74,70,3.33,ID,1604107728
Aripuanã,-9.17,-60.63,74.68,92,19,2.08,BR,1604107647
Staraya Toropa,56.28,31.67,44.65,94,98,2.66,RU,1604107728
Alta Floresta,-9.88,-56.09,73.83,85,100,2.17,BR,1604107729
Olafsvik,64.89,-23.71,40.19,84,47,12.39,IS,1604107508
Hofn,64.25,-15.21,45.95,74,0,30.11,IS,1604107729
Dukat,62.55,155.55,14.04,92,71,4.72,RU,1604107729
Marsá Maţrūḩ,31.35,27.25,71.47,68,49,12.97,EG,1604107729
High Rock,26.62,-78.28,80.6,88,40,11.41,BS,1604107730
Wamba,8.93,8.6,72.79,49,14,3.8,NG,1604107511
Sur,22.57,59.53,74.34,64,0,9.24,OM,1604107730
Saint-Augustin,51.23,-58.65,27.37,85,0,9.48,CA,1604107730
Beira,-19.84,34.84,77.0,83,20,13.87,MZ,1604107730
Broome,42.25,-75.83,30.2,74,75,8.05,US,1604107730
General Roca,-39.03,-67.58,69.8,30,0,5.82,AR,1604107731
Puerto Ayora,-0.74,-90.35,69.01,93,79,4.0,EC,1604107731
Taltal,-25.4,-70.48,59.34,65,3,4.76,CL,1604107731
Te Anau,-45.42,167.72,52.63,92,100,0.54,NZ,1604107731
Geraldton,-28.77,114.6,73.4,69,75,10.29,AU,1604107519
Le Vauclin,14.55,-60.84,82.4,78,75,11.41,MQ,1604107731
